Sentiment,Tweet
-1,"Toon:""Different Headgears post Elections""#KiranBedi #DelhiElection #Delhi #BJP #Modi #NaMo #ModiPMBediCM http://t.co/Fds4NTr7iB"
1,RT @Oneindia: Delhi Election: Bollywood actress Juhi Chawla wants to see Kiran Bedi as CM http://t.co/3DbhtG0WXQ #KiranBedi
1,RT @Oneindia: Delhi Election: Bollywood actress Juhi Chawla wants to see Kiran Bedi as CM http://t.co/3DbhtG0WXQ #KiranBedi
1,"RT @ingridtherwath: Will Delhi voters say ""I love you K-K-K-Kiran"" tomorrow? One word comes to mind: ""Darr"" #DelhiElections #KiranBedi http?"
-1,@ravindrabajpai5 @MangalSenacha BJP contact asaram also very soon. That's the option they are left with now because #KiranBedi card failed.
1,@welworth ...Only #KiranBedi can enthuse &amp; inspire Delhi Governance to deliver their BEST.
1,"Vote for #Kejriwal if you're impressed with the #BengalModel 
#AbkiBaarBediSarkaar #AAPFundingScam #AAP #BJP #KiranBedi #MamataBanerjee"
1,RT @Oneindia: Delhi Election: Bollywood actress Juhi Chawla wants to see Kiran Bedi as CM http://t.co/3DbhtG0WXQ #KiranBedi
1,RT @newsxonline: Lawyers offer support to #BJP?s CM candidate: Bar Association President and Delhi Bar association members meet #KiranBedi.?
1,"RT @abpnewstv: Full Interview of @AmitShahOffice  #AmitShah2ABP on #GharWapsi row , #KiranBedi , #Kejriwal https://t.co/iG4rFmJARw http://t?"
-1,@MangalSenacha she has 0 knowledge about issues in Delhi. She claims that she will resolve everything but don't know how. #KiranBedi
-1,"RT @DeepikaBhardwaj: Comedy Days with #KiranBedi : Sorry guys this is just too hilarious!!! Speech at public rally at DDA Ground, Dwarka ht?"
-1,"RT @Pritha88: #KiranBedi doesn't step out of car at Kirari roadshow,heavy security as #Rahul rally 3 km away at Sultanpur @IndianExpress @M?"
1,RT @Oneindia: Delhi Election: Bollywood actress Juhi Chawla wants to see Kiran Bedi as CM http://t.co/3DbhtG0WXQ #KiranBedi
1,Delhi Election: Bollywood actress Juhi Chawla wants to see Kiran Bedi as CM http://t.co/3DbhtG0WXQ #KiranBedi
1,"#BJP CM Candidate #KiranBedi road shown in Krishna Nagar, #Delhi http://t.co/4vygqnu098"
1,"RT @GenNextIndian: All #Delhi women b united&amp; give majority to #KiranBedi.Time has come 2 show women power can bring a change without men.
?"
1,"All #Delhi women b united&amp; give majority to #KiranBedi.Time has come 2 show women power can bring a change without men.
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,RT @GargaC: #KiranBedi &amp; farce of ''cooperative federalism' http://t.co/Y8aTqWgRUn @vasantshetty81 @rohithbr @ganeshchetan @hariprasadholla?
1,"#KiranBedi 's BJP dive spontaneous, says her husband  http://t.co/FeJBTrAnSp ?"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
-1,#KiranBedi bursts into tears! Do you think she is getting scared before the #DelhiElections? http://t.co/s5bopXw3NO http://t.co/73yCsdhS52
-1,"RT @nostradamuspeak: Dilli waalo!! Jaag Jaao... Yeh Khiladi, Anadi aur Vyaapaari, Teeno mile hue hai. Vote for #Congress defeat #KiranBedi ?"
-1,"Dilli waalo!! Jaag Jaao... Yeh Khiladi, Anadi aur Vyaapaari, Teeno mile hue hai. Vote for #Congress defeat #KiranBedi http://t.co/MPFiJtK7Z1"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,Political #Campaigns going digital this #elections #Arvindkejriwala #KiranBedi and #AjayMa? http://t.co/1zhusodGGM http://t.co/kqC93xWHQq
1,RT @dna: #KiranBedi says she would bring civil defence force to stop crimes in Delhi http://t.co/AkUe1Zf5xW
1,"RT @EconomicTimes: Women safety, power and water, housing &amp; health to be top priority, says #KiranBedi #DelhPolls"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
-1,*SabKaSaathSabKaVikaas* repeats #kiranBedi.  Arrogant indifference to ground realities  ! Trademark of #BJP  #churchattacks #tuglakabad
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"Come on Delhi !! Vote BJP,BJP &amp; BJP Only BJP !! Decisive leader like #kiranbedi looking for lead. Vote in Numbers !! #AbkiBaarBediSarkaar"
-1,"RT @mufflerbaazi: #mufflerman dubai raita
#KiranBedi #Bedi4DelhiCM #BJP4Delhi #Bedi4CM http://t.co/CXsyfvOiJg"
-1,"RT @DDSez: U mean her Mizo daughter? ""@Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/Usgn1pK51c"""
1,"RT @abpnewstv: Full Interview of @AmitShahOffice  #AmitShah2ABP on #GharWapsi row , #KiranBedi , #Kejriwal https://t.co/iG4rFmJARw http://t?"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @mufflerbaazi: The amazing mufflerman part 2

#BJP4Delhi #KiranBedi #AAPtards #BJPMission60 @kNOwKejriwal @KapilRY http://t.co/dvhUKb3MMW"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
0,"#KiranBedi vs. #ArvindKejriwal.
#BJP vs. #AAP 
And #Congress vs. ????"
1,"RT @sorabh0404: Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
0,#Kejriwal proved 2 b opportunistic by resigning CM post 2 contest 4r PM post. Takes every opportunity for media coverage &amp; calls #KiranBedi.
-1,"I don't know why this women went to politics to defame all her achievements 
#KiranBedi http://t.co/0RbToUixVZ"
1,"Delhi need decisive leader like #kiranbedi Vote in Numbers !! Vote BJP, BJP &amp; BJP Only BJP !!
#AbkiBaarBediSarkaar"
-1,Cropping people out and then using it as a profile picture is exactly what's going to happen to #KiranBedi post the #Delhi #Elections
1,"RT @Naveennsui: Ppl should vote fr trusted &amp; tried leaders. #ArvindKejriwal &amp; #KiranBedi may be trusted, bt they are not tried.
@ajaymaken ?"
-1,"RT @DrGarekar: At swearing ceremony of #CMDelhi,.MrsKkejriwal will be in Burqua...as no woman can resist swearing in ceremony of another wo?"
1,#KiranBedi The best choice for CM for Delhi!
-1,"RT @DrGarekar: At swearing ceremony of #CMDelhi,.MrsKkejriwal will be in Burqua...as no woman can resist swearing in ceremony of another wo?"
1,"RT @Oneindia: Delhi polls: Confident BJP will win in Delhi, says Kiran Bedi http://t.co/ZGbjXsGxuD #KiranBedi"
0,"Fight in #Delhi is btwn #KiranBedi who has a clean image,hs bn a good officer &amp; btwn A.Kejriwal who too has a clean image: #ShatrughanSinha"
0,"Fight in Delhi is btwn #KiranBedi who has a clean image,hs bn a good officer &amp; btwn A.#Kejriwal who too has a clean image: #ShatrughanSinha"
0,"RT @DrGarekar: At swearing ceremony of #CMDelhi,.MrsKkejriwal will be in Burqua...as no woman can resist swearing in ceremony of another wo?"
0,"Fight in Delhi is btwn #KiranBedi who has a clean image,hs bn a good officer &amp; btwn A.#Kejriwal who too has a clean image: #ShatrughanSinha"
-1,"RT @DrGarekar: At swearing ceremony of #CMDelhi,.MrsKkejriwal will be in Burqua...as no woman can resist swearing in ceremony of another wo?"
-1,"Y its all Modi for BJP in Del elections?He's not going to fight these elections.It shd be all abt #KiranBedi,her work n vision.#bjpflopshow"
-1,"RT @DeepikaBhardwaj: Comedy Days with #KiranBedi : Sorry guys this is just too hilarious!!! Speech at public rally at DDA Ground, Dwarka ht?"
1,"Delhi polls: Confident BJP will win in Delhi, says Kiran Bedi http://t.co/ZGbjXsGxuD #KiranBedi"
1,RT @DrGarekar: #KiranBedi has nothing to lost..it will citizens of #Delhi who will never know what has hit them...if they dont bring her to?
-1,"RT @DeepikaBhardwaj: Comedy Days with #KiranBedi : Sorry guys this is just too hilarious!!! Speech at public rally at DDA Ground, Dwarka ht?"
-1,@anisaz9_basit @Apolitical_AAP  Achha Laga ?? Achha Laga ?? Haath upar karo haath khada karo  Bolo Achha :Lagaa ?? Achha Lagaa ?? #KiranBedi
-1,"RT @DeepikaBhardwaj: Comedy Days with #KiranBedi : Sorry guys this is just too hilarious!!! Speech at public rally at DDA Ground, Dwarka ht?"
-1,"Comedy Days with #KiranBedi : Sorry guys this is just too hilarious!!! Speech at public rally at DDA Ground, Dwarka http://t.co/RQf0N51NmU"
-1,"U mean her Mizo daughter? ""@Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/Usgn1pK51c"""
0,"RT @DrGarekar: At swearing ceremony of #CMDelhi,.MrsKkejriwal will be in Burqua...as no woman can resist swearing in ceremony of another wo?"
-1,The only saving grace in #KiranBedi campaign is the involvement of Nirmala Sitaraman &amp; Modi #DelhiElections
-1,"#Fact of the matter is every #cabinet minster is busy defending #KiranBedi instead of handling their #portfolio
#AbkiBaarBediSarkaar LOL"
-1,RT @mayaniranjan: #KiranBedi winning #Delhi is okay provided she is not the CM. She will clog the works beyond salvage. A cop-politician ds?
-1,#KiranBedi winning #Delhi is okay provided she is not the CM. She will clog the works beyond salvage. A cop-politician dsn't work
-1,#AAP young spokesman @raghav_chadha is arrested by #Modi #KiranBedi #BJP Police for showing solidarity to peaceful protests of Churches <f0><U+009F><U+0094><U+00B4><f0><U+009F><U+0094><U+00BB><f0><U+009F><U+0094><U+00BB><f0><U+009F><U+0094><U+00B4>
-1,"RT @DrGarekar: At swearing ceremony of #CMDelhi,.MrsKkejriwal will be in Burqua...as no woman can resist swearing in ceremony of another wo?"
-1,"At swearing ceremony of #CMDelhi,.MrsKkejriwal will be in Burqua...as no woman can resist swearing in ceremony of another woman.. #KiranBedi"
-1,#KiranBedi  Fail because she was too arrogant
-1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
-1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
-1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
-1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
-1,It sounds that bjp had accepted #propoll defeat and giving xcuses that  another leader should HV been #choosen besides #KiranBedi
-1,"RT @newsxonline: #ArvindKejriwal launches attack on BJP?s CM candidate: By inducting #KiranBedi, BJP has conceded defeat #DelhiFinalPush #D?"
1,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
1,#ArvindKejriwal has insignificant administrative experience: #KiranBedi | http://t.co/m460CorDFl | #India @thekiranbedi #InfoblazeIND
-1,"RT @Chemburstudio: Last resort for #Modi #amitshah #KiranBedi #BJP tampering EVM?Muscle,Money,Might not working to defeat #AAP ?save democr?"
-1,"RT @newsxonline: #ArvindKejriwal launches attack on BJP?s CM candidate: By inducting #KiranBedi, BJP has conceded defeat #DelhiFinalPush #D?"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
-1,"RT @Chemburstudio: Last resort for #Modi #amitshah #KiranBedi #BJP tampering EVM?Muscle,Money,Might not working to defeat #AAP ?save democr?"
-1,"RT @Chemburstudio: #KiranBedi not accepted,#Modi Magic lose power,#amitshah money<f0><U+009F><U+0092><U+00B0>muscle<f0><U+009F><U+0092><U+00AA>boomerang<f0><U+009F><U+0094><U+00A7>riggin EVM<f0><U+009F><U+0094><U+00A9>manipulation s #BJP last Miss?"
0,RT @KavitaaSinghh: Anchoring done.now way to #krishnanagar for Live Reporting. #KiranBedi is contesting from dis seat.stakes r high fr #BJP
1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
1,"Will Delhi voters say ""I love you K-K-K-Kiran"" tomorrow? One word comes to mind: ""Darr"" #DelhiElections #KiranBedi http://t.co/LPcvQXGvOW"
1,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
-1,"@make_itpossible @scotchism so is this one - #Modi singing to #KiranBedi, Mai khilaadi tu anaadi."
1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
1,"RT @mayank_korea: Vote 4 developed, safe and clean Delhi. Vote for BJP, vote for #KiranBedi #AbkiBaarBediSarkaar"
1,"RT @rakeshsunrise: ""<U+092C><U+0947><U+0926><U+0940> <U+0915><U+093E> <U+0938><U+0941><U+0936><U+093E><U+0938><U+0928>  <U+092F><U+093E>  '<U+0906><U+092A>'<U+0915><U+093E> <U+0926><U+0941><U+0938><U+094D><U+0936><U+093E><U+0938><U+0928>""
For Woman safety &amp; empowerment
#AbkiBaarBediSarkaar 
#ModiPMBediCM #KiranBedi http?"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
0,"With no mention of #KiranBedi , #ManuJoseph fares well here/ Arvind Kejriwal Aims to Reclaim the Poor in Delhi Vote. http://t.co/PkGaaYsGJL"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
0,"RT @nisamtgi: BJP's Delhi CM Cand #KiranBedi Comes face to face with #AAP supporters in Kirari. https://t.co/KaPHPhJ6TY via @vineapp
#ThisT?"
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
1,Why are lawyers against #KiranBedi ?? What was the reason for that agitation in front of that office?
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
0,"BJP's Delhi CM Cand #KiranBedi Comes face to face with #AAP supporters in Kirari. https://t.co/KaPHPhJ6TY via @vineapp
#ThisTimeAAP"
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
0,A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar ... - http://t.co/un7zghC6WR #NewsInTweetsIndia
-1,#KiranBedi's daughter with her in last rally @IndianExpress http://t.co/JtwpQoiSN2 | Pritha ... - http://t.co/1Qzq43ISPl #NewsInTweetsIndia
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
-1,RT @EconomicTimes: #DelhiPolls: Aam Aadmi Party claims their survey predicts a massive victory for party| Arvind #Kejriwal 53 | #KiranBedi ?
1,"RT @abpnewstv: Full Interview of @AmitShahOffice  #AmitShah2ABP on #GharWapsi row , #KiranBedi , #Kejriwal https://t.co/iG4rFmJARw http://t?"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
1,RT @VinodSC: #Delhi me #AbkiBarBediSarkar #KiranBedi #KiranBedi4DelhiCM http://t.co/UxcjIHKUmH
-1,"RT @TchManoj: @ashutosh83B @ArvindKejriwal 
Abe ghantaghar, last year kejru be metro me travel karke kaun sa teer mar liya. 
#AbkiBarBediSa?"
-1,@Ankit_Tyagi01 @HeadlinesToday #KiranBedi fail
1,RT @newsxonline: Lawyers offer support to #BJP?s CM candidate: Bar Association President and Delhi Bar association members meet #KiranBedi.?
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
-1,RT @Pritha88: #KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
1,"@maverik555 and #Kejriwal is male Priyanka Gandhi. Unlike black money lover #Bhagoda, #KiranBedi is role model for women. Delhi is with #BJP"
0,RT @Pritha88: A smiling #KiranBedi arm in arm with @drharshvardhan  at last rally in Krishna Nagar @IndianExpress http://t.co/7moIkGALjV
1,"RT @abpnewstv: Full Interview of @AmitShahOffice  #AmitShah2ABP on #GharWapsi row , #KiranBedi , #Kejriwal https://t.co/iG4rFmJARw http://t?"
-1,#KiranBedi's daughter with her in last rally @IndianExpress http://t.co/I60svIHc00
-1,"RT @Chemburstudio: Can't we make democratic protests?#Modi #BJP #amitshah #KiranBedi ?<f0><U+009F><U+0091><U+008E>Police charge<f0><U+009F><U+0094><U+00A8>Christen Priests,Nuns,Children in #Del?"
1,"@AtalBihariSena Bus, hum yaad rakhenge:
 NaMo ka Sabka Vikas ka sapna poora karna hai,
 BJP ko Bahumat dekar
 #KiranBedi ko CM banaana hai."
